,POSITIVE,NEGATIVE
la,233,20
confidential,44,2
‘,27,2
representation,46,6
longgone,2,0
era,239,13
los,46,1
angeles,25,0
exemplary,25,0
1950s,44,4
enlivened,9,3
screen,862,82
accurate,35,7
opulent,6,0
manner,107,8
flawless,107,1
ensemble,178,5
masterfully,71,0
written,236,49
story,3779,306
vibrant,105,2
yet,1009,84
gritty,92,2
vision,223,16
everything,592,69
click,19,6
fittingly,10,0
cynical,72,11
undeniably,77,6
seductive,37,0
period,255,12
crime,205,61
thriller,753,168
still,1263,118
maintains,48,1
style,479,49
sizzle,11,0
best,3582,110
richest,16,0
crimecop,1,0
drama,1030,80
decade,346,24
instant,102,5
classic,1111,38
one,6111,698
cop,73,13
film,11795,1253
1950sset,2,0
’,1938,171
also,1363,88
movie,7218,1433
cast,843,117
crew,74,6
ever,1625,164
associated,18,5
25th,5,1
anniversary,22,1
darker,62,4
piping,1,0
hot,53,12
coffee,7,1
hardboiled,26,1
picnic,3,0
egg,16,1
colourfully,1,0
brutal,133,8
might,666,160
hewn,1,0
hollywood,674,92
golden,54,6
heyday,7,1
smart,416,18
soulful,46,0
bow,21,3
low,42,36
genre,757,76
even,1703,408
betrays,6,2
danny,15,6
devito,4,1
play,499,102
vile,7,2
sid,2,0
laugh,390,135
sleazy,8,4
type,96,21
deserves,215,32
kim,16,2
basinger,6,4
portrays,28,6
woman,443,45
disappointed,33,8
life,1591,120
hopeful,60,0
salvation,13,1
anchored,43,0
two,982,143
intense,182,7
young,454,44
aussie,2,0
russell,36,7
crowe,13,0
guy,138,51
pearce,22,0
adapted,46,1
novel,252,37
said,143,58
unadaptable,1,0
set,672,81
ha,3980,513
seemed,42,10
increasingly,55,16
played,154,21
brings,300,9
clarity,48,2
art,489,41
thats,944,164
pretty,257,85
good,1794,267
definition,35,8
masterpiece,835,14
isnt,549,190
toughest,16,0
freshest,11,0
year,2323,205
corrupt,13,0
different,259,27
way,1845,241
murk,1,1
muck,1,0
deepens,17,0
thickens,1,1
three,372,58
rouse,5,0
moral,166,16
torpor,2,1
rediscover,8,0
vocation,2,0
exactly,202,41
honor,73,3
thing,895,220
conveys,36,1
addition,99,7
institutionalized,8,0
corruption,46,1
energy,227,32
excitement,118,26
city,166,7
know,636,129
move,209,25
juicy,12,0
dynamite,16,1
director,1407,195
curtis,27,0
hanson,16,1
brian,17,5
helgeland,2,0
created,224,15
delivers,428,25
every,1148,184
directed,311,58
panache,32,1
terrific,312,8
lean,106,7
taut,96,2
deeply,315,17
involving,70,12
rich,320,9
complexity,101,10
relish,19,3
brazen,7,6
headline,17,1
splashed,2,1
across,269,19
top,526,29
police,47,10
gazettetype,1,0
scandal,20,1
sheet,7,0
peer,20,2
seductively,8,0
dark,448,83
heart,924,26
conjures,26,2
grand,176,13
piece,715,84
entertainment,622,48
loved,139,11
respected,4,0
justright,1,0
blend,203,5
lack,157,109
ironic,46,4
selfconsciousness,4,1
insistence,12,1
hero,409,36
imperfect,26,0
men,311,28
justice,81,5
make,2451,386
exquisite,111,3
noir,169,12
experience,827,54
dante,4,2
spinottis,1,1
widescreen,25,0
camerawork,38,7
jeannine,2,0
oppewalls,1,0
production,269,57
design,193,14
brilliantly,257,5
recreate,10,1
somewhat,88,13
tawdry,4,0
world,1131,67
glamorous,12,0
starting,33,1
lose,42,5
glamour,23,1
always,470,42
fascinated,15,1
seamier,1,0
side,180,22
lure,15,2
moviestar,7,1
drawn,61,9
striver,1,0
schemer,1,0
seducer,1,0
swindler,2,1
abundance,16,4
compelling,344,27
scope,99,3
richness,29,1
leaf,197,28
sense,650,117
satisfaction,32,1
feel,1401,227
snapping,2,2
place,628,64
last,590,130
brainteasing,3,0
jigsaw,3,1
puzzle,37,9
remarkable,290,11
notch,26,3
sync,8,0
without,838,139
drawing,36,5
attention,182,21
australian,7,0
actor,647,112
especially,265,30
character,2212,277
ricochet,6,1
maze,5,1
intrigue,68,11
whipsmart,21,0
script,502,144
keep,602,57
plot,493,203
clear,162,20
action,1670,232
sexy,44,10
humor,641,86
shrewd,30,0
perhaps,392,63
much,1506,386
hype,89,7
preceded,9,1
release,127,39
buzz,50,0
quality,245,25
performance,2075,116
local,19,10
lad,4,0
justified,19,0
standout,50,1
done,391,34
remarkably,85,9
faithful,50,3
job,207,22
translating,4,0
ellroys,10,0
50,64,4
big,764,108
carved,4,3
james,256,16
quartet,7,0
dense,43,4
examining,16,2
history,583,24
postwar,36,1
southern,23,4
california,8,2
prism,7,0
law,30,11
enforcement,4,1
great,1891,85
sterling,10,1
meaty,14,0
high,464,61
value,180,32
confident,75,0
hand,256,37
tiller,1,1
add,162,26
rocksolid,6,1
body,97,16
brain,75,36
match,136,5
could,950,202
ask,71,13
anything,362,129
aloof,4,0
innocent,50,9
raunchy,2,5
somehow,153,29
tender,148,3
stylized,33,3
early,134,22
seems,393,129
covered,8,5
dewy,1,0
optimistic,28,0
sheen,21,12
underneath,35,0
mildew,1,1
sprawling,42,5
memorable,242,21
surprising,170,15
revelation,84,4
paradisal,1,0
myth,63,2
crash,22,20
reality,249,28
densely,20,1
structured,27,1
toughly,2,0
textured,22,2
tale,782,46
caught,47,13
coverups,4,0
selfdestructive,3,1
passion,127,26
old,529,81
hat,39,7
bemoan,2,0
decline,7,5
screenwriting,15,4
see,1167,209
whose,279,30
plotlines,1,1
dovetail,4,0
perfectly,319,9
realize,66,11
youve,221,36
missed,73,25
wellcrafted,40,4
storytelling,418,20
assembled,29,10
detail,302,15
characterisation,26,1
feared,7,3
wa,1583,312
extinct,3,0
mainstream,99,8
american,766,55
cinema,1057,66
intriguing,111,14
moment,947,144
loose,45,4
end,778,161
dont,616,166
get,1261,251
tied,18,2
though,579,104
compared,31,14
chinatown,55,2
finesse,21,0
roman,47,5
polanskis,42,3
cinematic,720,68
artistry,73,1
would,757,265
paranoic,1,0
informed,13,1
pulp,99,12
fiction,226,28
glisten,3,0
like,2725,634
new,1404,141
car,130,54
darkened,5,5
soul,401,34
tempted,6,2
bad,196,418
idea,341,106
thinking,93,25
person,115,20
detective,69,2
almost,680,144
absurdly,12,3
entertaining,957,54
trimmed,4,3
express,39,1
america,266,7
con,56,8
illusion,39,5
morality,67,4
righteousness,2,0
leader,34,1
traffick,1,0
behind,228,61
scene,811,136
death,179,44
depravity,6,2
hansons,10,0
unlikely,79,7
distillation,6,0
vigorously,9,0
plotted,18,5
slashinglypaced,1,0
140minute,2,1
notable,43,7
tribute,133,5
murky,13,7
noirs,14,0
past,336,44
work,1684,162
river,25,1
wild,118,37
underappreciated,1,0
bedroom,4,4
window,53,6
win,128,9
recognition,29,5
major,172,24
stylist,7,1
dazzling,215,9
ease,38,1
skill,142,17
moving,525,18
many,1023,156
convoluted,26,15
thread,33,3
complex,335,10
framework,18,3
concocted,4,0
ellroy,5,0
put,463,70
formidable,31,1
expressive,38,1
power,566,26
together,402,57
full,2093,181
review,1624,149
spanish,1483,121
heft,35,1
bookmark,3,0
kind,672,110
others,195,24
come,1158,173
ending,253,26
fudged,1,0
compromise,22,4
made,1507,188
heady,46,0
ride,303,14
fast,149,29
company,112,13
territory,57,11
barely,50,52
nodding,3,1
acquaintance,4,0
people,729,143
densest,3,0
smartest,38,1
writer,115,34
time,2446,288
may,1081,130
bearing,9,0
distinction,28,7
odds,53,2
ambition,124,15
matched,35,4
achievement,421,11
screenplay,225,38
characterization,62,14
impressive,304,18
visual,524,37
powerhouse,37,0
acting,437,104
show,607,86
werent,24,10
wonderful,425,11
television,44,15
series,548,83
violent,147,17
sharp,191,4
sinister,34,3
brilliant,587,11
need,504,101
pay,120,23
close,254,43
start,319,76
finish,150,14
rare,436,16
pleasure,204,23
day,623,100
challenged,14,2
picture,1023,118
surprised,60,6
want,550,114
give,843,103
u,1488,119
richer,36,2
standard,207,41
earned,50,3
chop,14,1
stylish,103,8
evoked,5,0
curt,2,1
yeoman,1,0
creating,127,8
modern,464,12
assembling,10,0
stellar,87,2
writerdirector,206,17
adaptation,239,39
wasnt,71,33
merely,91,42
greatest,600,13
1990s,24,3
stand,312,30
age,489,28
slowmoving,10,2
progressively,2,2
enthralling,64,0
simply,400,60
stunning,350,9
score,249,19
jerry,12,4
goldsmith,4,0
accent,18,10
nailbiting,27,0
enhancing,2,0
tension,304,26
suspense,308,47
snowball,3,0
motif,24,4
unearthed,2,1
prove,57,10
demanding,16,2
audience,933,166
huge,105,14
narrative,462,52
swoony,4,0
surprise,286,32
lift,43,2
direction,458,62
since,580,50
hard,469,109
edge,176,13
mystery,235,41
beneath,59,7
bright,100,10
light,283,39
tinseltown,3,0
rewarding,73,2
doe,924,131
disappoint,36,2
repeated,26,5
viewing,225,4
compendium,7,2
talent,245,52
master,225,33
accumulated,3,0
four,88,18
career,270,49
perfect,726,14
ninety,10,2
legend,67,6
take,1117,148
fact,268,70
invariably,6,3
case,147,30
knowingly,8,0
unanxiously,1,0
embraced,18,1
sublimely,18,1
bullseye,11,0
attitude,42,9
packing,15,1
punch,129,17
evil,155,24
secret,74,5
smile,99,2
enjoy,234,42
coherent,21,15
absorbing,100,1
bloody,90,12
center,76,15
mismatched,9,3
separately,2,0
fueled,22,2
ferociously,8,0
kevin,15,9
spacey,6,0
combined,45,6
charisma,40,7
smash,31,9
quite,535,76
closest,45,1
santa,4,4
monica,2,0
freeway,3,0
23,8,0
setting,171,13
virtually,72,18
another,721,151
starring,48,14
spicy,6,0
boilinghot,1,0
sensational,68,3
early50s,2,0
disguised,13,4
saga,201,14
redemption,44,6
flashy,22,7
west,74,11
coast,9,5
backdrop,29,1
something,917,147
rarer,8,0
culture,246,19
oldfashioned,141,6
total,74,16
single,176,54
complicated,106,8
cant,364,143
highintensity,1,0
twisted,59,37
twisting,14,2
hangerson,1,0
artfully,26,1
evokes,42,0
flip,13,8
dream,275,15
reaching,24,3
height,92,5
superbly,119,0
engrossing,136,3
doesnt,712,212
let,369,65
second,289,38
cramming,2,0
mere,67,9
98,2,2
minute,350,158
exhilarating,224,2
breakneck,22,1
far,642,102
soon,98,20
satisfyingly,11,0
echo,37,0
1974,11,0
result,266,52
powerful,511,13
seldom,50,6
study,259,9
sleaze,4,1
tick,20,3
superlative,53,2
filming,19,5
fuse,12,2
authenticity,69,4
fluid,36,4
searing,44,0
fullblooded,7,0
definitely,140,25
spirit,228,19
seem,256,69
entombed,1,0
sin,37,10
vividly,49,0
human,682,43
savagely,8,2
alive,123,11
genius,207,29
doubt,159,23
hold,253,27
investigation,23,2
capacity,29,2
managing,24,3
funny,1089,158
thrilling,403,14
lively,76,4
shocking,72,6
unremittingly,1,0
alluring,15,1
revel,33,4
artifice,16,2
exposing,7,0
homage,88,3
distant,16,0
recent,240,20
overrated,26,15
swiftly,8,2
allows,118,8
space,297,33
define,23,5
producer,51,22
adding,42,2
name,239,83
mostwanted,1,0
list,152,22
multilayered,24,0
riveted,7,2
possible,214,30
reason,220,56
imagine,127,34
leading,87,16
fiercely,27,1
payoff,57,6
repeatedly,21,7
worth,380,46
extra,44,4
concentration,10,1
1950sera,2,0
casual,41,4
mastery,41,1
owned,3,0
seemingly,92,11
misplaced,4,2
lost,290,57
zig,2,0
zag,2,0
knife,189,5
slash,3,1
cynicism,55,11
stoked,1,0
melting,5,1
point,345,103
thrill,339,38
crackingly,1,0
deconstructs,4,0
mean,272,53
hardedged,7,0
halfdefeated,1,0
romantic,372,34
understands,70,1
respond,15,3
question,243,29
society,131,9
regard,31,0
cut,97,24
angelinos,1,0
love,1368,76
hate,62,20
well,1239,128
fan,591,87
possibly,139,25
wish,169,37
classicthe,1,0
alchemical,1,0
reaction,38,9
charmed,7,4
collaboration,37,3
artistsbluray,1,0
thoroughly,158,17
enjoyable,313,17
along,380,39
neonoir,15,1
league,16,3
double,83,9
indemnity,20,1
atmospheric,31,2
acted,220,24
follow,112,21
doublecrossing,4,0
intricacy,12,1
reward,44,1
dirty,23,9
fun,1076,127
stop,133,29
reading,29,7
seen,824,95
spaceys,1,0
vincennes,1,0
hugely,89,3
zooming,5,2
boulevard,21,1
broken,58,7
losing,48,6
sight,114,20
trip,102,11
worthwhile,44,12
irresistible,92,1
treat,162,15
enough,672,184
twist,193,39
halfdozen,8,2
restores,13,0
element,288,45
level,427,62
potency,9,0
disturbing,108,10
satisfying,410,12
hell,222,26
dizzying,41,2
parlor,5,0
game,195,97
already,203,46
begun,13,4
whether,164,34
supreme,34,3
provided,25,2
mr,290,21
representing,9,0
policier,3,0
marked,33,3
denselyplotted,1,0
psychological,100,17
depth,192,22
ambiguity,26,2
emotional,790,35
complxity,1,0
nexus,2,0
veronica,3,0
lake,7,0
lookalike,2,0
trapped,19,8
web,32,1
male,47,13
desire,108,9
arguably,137,2
pick,41,16
subtle,154,4
immensely,68,2
assured,77,3
call,286,68
epic,594,49
scrappy,8,1
dug,7,0
bigtime,2,1
baby,63,34
away,456,67
craft,150,6
hardhitting,16,2
filmmaker,489,87
worked,55,10
dreamed,7,3
solid,209,21
effort,227,73
turn,492,92
corner,62,8
turned,111,18
viewer,414,64
sinking,5,4
feeling,366,45
sink,28,8
deeper,121,4
everythings,5,0
poisoned,2,1
suspicious,3,0
going,404,101
based,112,29
drag,43,20
ultimately,253,58
fails,36,66
photography,77,6
polished,49,5
emerge,32,4
twenty,23,5
remains,377,28
date,225,16
viscerally,16,3
intellectually,20,3
perfection,124,4
shake,46,8
stick,69,15
whodunit,55,2
nothing,427,165
really,802,179
unpredictable,47,1
pierce,9,1
wondrous,65,0
troika,2,0
lends,18,2
slippery,12,1
distinctive,50,2
erotic,45,7
poignancy,59,1
stuff,202,35
right,835,82
demand,94,12
assuming,6,2
consist,3,0
dummy,2,4
rewarded,16,0
environment,38,3
oozing,5,0
atmosphere,97,14
convincing,62,15
topnotch,49,1
intricate,50,2
lust,15,2
betrayal,46,2
thematically,34,2
recall,39,5
vintage,26,2
stylistically,12,1
coming,199,20
closer,42,12
pode,4,0
parecer,1,0
impossível,1,0
ainda,9,1
se,39,8
fazer,2,0
um,57,5
ótimo,2,0
filme,37,5
hoje,2,0
em,61,13
dia,4,1
rattling,9,1
laughing,41,16
tone,241,34
poem,30,3
neverinnocent,1,0
rousing,105,6
executed,104,18
climactic,36,5
shootout,12,8
ingenious,100,1
jolting,10,3
riveting,166,5
shadowy,9,2
never,1218,212
sacrifice,55,4
scrap,4,2
intelligence,148,26
succeeds,151,3
haunting,154,18
theme,391,26
haunted,24,11
elegant,90,3
labyrinthine,8,0
book,421,45
requiring,3,2
coded,2,0
dialogue,413,109
destined,55,6
nihilistic,9,0
cold,103,24
around,410,85
nominal,1,1
amoral,15,3
willing,69,8
sell,38,8
anyone,315,71
everyone,302,43
initially,23,3
unnerving,28,1
finally,223,30
excellent,306,9
murder,126,14
brimming,35,2
topped,19,0
fine,317,27
long,743,119
wont,207,46
able,179,21
eye,410,33
yearns,2,1
notoriety,1,1
playing,132,36
morally,35,6
officer,15,3
represent,22,1
coin,5,0
theyre,139,44
boring,29,66
fascinating,261,13
theater,261,83
managed,66,9
push,64,7
usual,142,23
boundary,41,2
waiting,85,20
hasnt,90,12
entirely,143,40
