,title,link
0,L.A. Confidential,https://www.rottentomatoes.com/m/la_confidential/reviews
1,The Godfather,https://www.rottentomatoes.com/m/the_godfather/reviews
2,Casablanca,https://www.rottentomatoes.com/m/1003707-casablanca/reviews
3,Seven Samurai,https://www.rottentomatoes.com/m/seven_samurai_1956/reviews
4,Parasite,https://www.rottentomatoes.com/m/parasite_2019/reviews
5,Schindler's List,https://www.rottentomatoes.com/m/schindlers_list/reviews
6,Top Gun: Maverick,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
7,Toy Story 2,https://www.rottentomatoes.com/m/toy_story_2/reviews
8,Chinatown,https://www.rottentomatoes.com/m/chinatown/reviews
9,On the Waterfront,https://www.rottentomatoes.com/m/on_the_waterfront/reviews
10,The Battle of Algiers,https://www.rottentomatoes.com/m/the_battle_of_algiers/reviews
11,Toy Story,https://www.rottentomatoes.com/m/toy_story/reviews
12,Rear Window,https://www.rottentomatoes.com/m/1017289-rear_window/reviews
13,Modern Times,https://www.rottentomatoes.com/m/modern_times/reviews
14,How to Train Your Dragon,https://www.rottentomatoes.com/m/how_to_train_your_dragon/reviews
15,All About Eve,https://www.rottentomatoes.com/m/1000626-all_about_eve/reviews
16,Spirited Away,https://www.rottentomatoes.com/m/spirited_away/reviews
17,Up,https://www.rottentomatoes.com/m/up/reviews
18,The Third Man,https://www.rottentomatoes.com/m/the_third_man/reviews
19,Spotlight,https://www.rottentomatoes.com/m/spotlight_2015/reviews
20,Spider-Man: Into the Spider-Verse,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse/reviews
21,The Philadelphia Story,https://www.rottentomatoes.com/m/philadelphia_story/reviews
22,Finding Nemo,https://www.rottentomatoes.com/m/finding_nemo/reviews
23,Singin' in the Rain,https://www.rottentomatoes.com/m/singin_in_the_rain/reviews
24,12 Angry Men,https://www.rottentomatoes.com/m/1000013_12_angry_men/reviews
25,Toy Story 3,https://www.rottentomatoes.com/m/toy_story_3/reviews
26,Sunset Boulevard,https://www.rottentomatoes.com/m/sunset_boulevard/reviews
27,Coco,https://www.rottentomatoes.com/m/coco_2017/reviews
28,"The Godfather, Part II",https://www.rottentomatoes.com/m/godfather_part_ii/reviews
29,Three Colors: Red,https://www.rottentomatoes.com/m/three_colors_red/reviews
30,Selma,https://www.rottentomatoes.com/m/selma/reviews
31,Zootopia,https://www.rottentomatoes.com/m/zootopia/reviews
32,Citizen Kane,https://www.rottentomatoes.com/m/citizen_kane/reviews
33,Annie Hall,https://www.rottentomatoes.com/m/annie_hall/reviews
34,Cool Hand Luke,https://www.rottentomatoes.com/m/cool_hand_luke/reviews
35,The Holdovers,https://www.rottentomatoes.com/m/the_holdovers/reviews
36,Inside Out,https://www.rottentomatoes.com/m/inside_out_2015/reviews
37,Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,https://www.rottentomatoes.com/m/dr_strangelove/reviews
38,Let the Right One In,https://www.rottentomatoes.com/m/let_the_right_one_in/reviews
39,The Lord of the Rings: The Two Towers,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers/reviews
40,Knives Out,https://www.rottentomatoes.com/m/knives_out/reviews
41,M,https://www.rottentomatoes.com/m/1012928-m/reviews
42,Toy Story 4,https://www.rottentomatoes.com/m/toy_story_4/reviews
43,The Wrestler,https://www.rottentomatoes.com/m/the_wrestler/reviews
44,Goodfellas,https://www.rottentomatoes.com/m/1032176-goodfellas/reviews
45,The Wizard of Oz,https://www.rottentomatoes.com/m/the_wizard_of_oz_1939/reviews
